"","V1"
"1003201228","3"
"1003201238.rs","3"
"1003201248","3"
"1003201258","3"
"1003201268","3"
"1003201278","4"
"1003201288","3"
"1003201298","3"
"1003201308","3"
"1003201338","3"
"1003201348.rs","3"
"1003201358","3"
"1003201368","3"
"1003201378","3"
"1003201388","3"
"1003201398","4"
"1003401088","3"
"1003401098","3"
"1003401108","3"
"1003401118","3"
"1003401128","3"
"1003401138","3"
"1003401148","3"
"1003401158.rs","3"
"1003401168","3"
"1003401178","3"
"1003401188","3"
"1003401198.rs","3"
"1003401208","3"
"1003401218","3"
"1003401228","3"
"1003401238","3"
"1003401248","3"
"1003401258","3"
"1003401268","3"
"1003401278","3"
"1003401288","3"
"1003401298","3"
"1003401308","3"
"1003401318","3"
"1003401328","3"
"1003401338","3"
"1003401348","3"
"1003401358","3"
"1003401368","3"
"1003401378","3"
"1003401388","3"
"1003601108","1"
"1003601118","1"
"1003601138","1"
"1003601148","1"
"1003601158","1"
"1003601168","1"
"1003601178","1"
"1003601188","1"
"1003601198","1"
"1003601218","1"
"1003601228","1"
"1003601238","1"
"1003601248","1"
"1003601258","1"
"1003601268","1"
"1003601278","1"
"1003601288","1"
"1003601298","1"
"1003601308","1"
"1003601318","1"
"1003601328","1"
"1003601338","1"
"1003601348.rs","1"
"1003601358","1"
"1003901098","3"
"1003901108","3"
"1003901118","3"
"1003901128","5"
"1003901138","5"
"1003901148","5"
"1003901158","5"
"1003901168","5"
"1003901178","5"
"1003901188","5"
"1003901198","5"
"1003901208","5"
"1003901218","5"
"1003901228","5"
"1003901238","5"
"1003901248","5"
"1003901258","5"
"1003901268","5"
"1003901278","5"
"1003901288","5"
"1003901298","5"
"1003901308","5"
"1003901318","5"
"1003901328","5"
"1003901338","5"
"1003901348","5"
"1003901358","5"
"1003901368","5"
"1003901378","3"
"1003901388","3"
"1003901398","5"
"1004001168","2"
"1004001208","2"
"1004001218","2"
"1004001228","2"
"1004001238","2"
"1004001248","2"
"1004001258","2"
"1004001268","2"
"1004001278","2"
"1004001288","2"
"1004001298","2"
"1004001308","2"
"1004001318","2"
"1004001328","2"
"1004001338","2"
"1004001348","2"
"1004001358","2"
"1004001368.rs","2"
"1004001378.rs","2"
"1004001388","2"
"1004001398","2"
"1004301098","1"
"1004301108","1"
"1004301118","1"
"1004301128","1"
"1004301138.rs","1"
"1004301148","1"
"1004301158","1"
"1004301168","1"
"1004301178","1"
"1004301188","1"
"1004301198","1"
"1004301208","1"
"1004301238","1"
"1004301258","1"
"1004301268","1"
"1004301278","1"
"1004301298","1"
"1004301308","1"
"1004301318","1"
"1004301328.rs","4"
"1004301338","1"
"1004301348","4"
"1004301358","1"
"1004301368","1"
"1004301378","1"
"1004301388","1"
"1004301398","1"
"1004401088","3"
"1004401098.rs","3"
"1004401108","3"
"1004401118","3"
"1004401128","3"
"1004401138","3"
"1004401148","3"
"1004401158","3"
"1004401168","3"
"1004401178","3"
"1004401188.rs","3"
"1004401198","3"
"1004401208","3"
"1004401218","3"
"1004401228","3"
"1004401238","3"
"1004401248","3"
"1004401258","3"
"1004401268","3"
"1004401278","3"
"1004401288","3"
"1004401298","4"
"1004401308","4"
"1004401318","3"
"1004401328.rs","3"
"1004401338","3"
"1004401348","4"
"1004401358","5"
"1004401368","3"
"1004401378","4"
"1004401388.rs","3"
"1004401398","4"
"1004501128","5"
"1004501138","3"
"1004501148","5"
"1004501158","5"
"1004501168","5"
"1004501178","5"
"1004501188","5"
"1004501198","5"
"1004501208","5"
"1004501218.rs","5"
"1004501228.rs","5"
"1004501238","5"
"1004501248.rs","5"
"1004501258","5"
"1004501268","5"
"1004501278","5"
"1004501288","5"
"1004501298","5"
"1004501308","5"
"1004501318","5"
"1004501328","5"
"1004501338","5"
"1004501348","5"
"1004501358.rs","5"
"1004501368","5"
"1004501378","5"
"1004501388","5"
"1004601068.rs","1"
"1004601078","1"
"1004601088","1"
"1004601098","1"
"1004601108","1"
"1004601118","1"
"1004601128","1"
"1004601138","1"
"1004601148","1"
"1004601158","1"
"1004601168","1"
"1004601178","1"
"1004601188","1"
"1004601198","1"
"1004601208","1"
"1004601218","1"
"1004601228.rs","1"
"1004601268","1"
"1004601278","1"
"1004601288","1"
"1004601298","1"
"1004601308","1"
"1004601318","1"
"1004601328","1"
"1004601338","1"
"1004601348","1"
"1004601358","1"
"1004601368","1"
"1004601378","1"
"1004601388","1"
"1004601398.rs","1"
"1004701118","3"
"1004701128","3"
"1004701138","3"
"1004701148","1"
"1004701158","1"
"1004701168","1"
"1004701178","1"
"1004701198.rs","1"
"1004701208","1"
"1004701218","1"
"1004701228","1"
"1004701238","1"
"1004701258","1"
"1004701268","1"
"1004701278","1"
"1004701288","1"
"1004701298","1"
"1004701308","1"
"1004701318.rs","1"
"1004701328","1"
"1004701338","1"
"1004701348","1"
"1004701358.rs","1"
"1004701368","1"
"1004701378","1"
"1004701388","1"
"1004701398","1"
"1005501128","3"
"1005501148.rs","3"
"1005501158","3"
"1005501168.rs","3"
"1005501178","3"
"1005501188","3"
"1005501208","3"
"1005501218.rs","3"
"1005501228","3"
"1005501238","3"
"1005501248","3"
"1005501258","3"
"1005501268.rs","3"
"1005501278","5"
"1005501288","5"
"1005501298","3"
"1005501308","3"
"1005501318","3"
"1005501328","3"
"1010101108","2"
"1010101118.rs","2"
"1010101128","2"
"1010101158","2"
"1010101168","2"
"1010101178.rs","2"
"1010101188","2"
"1010101198","2"
"1010101208","2"
"1010101218","2"
"1010101228","1"
"1010101238","1"
"1010101248","1"
"1010101258","1"
"1010101268","1"
"1010101288","1"
"1010101298","1"
"1010101308","1"
"1010101318","1"
"1010101328","1"
"1010101338","1"
"1010101348","1"
"1010101358","1"
"1010101368","1"
"1010101378","1"
"1010101388","1"
"1010101408","1"
"1010101418","1"
"1010101428","1"
"1010101438","1"
"1010101448","1"
"1010101458","1"
"1010101468","1"
"1900401178","3"
"1900401188","3"
"1900401198","3"
"1900401208","3"
"1900401218","3"
"1900401228","3"
"1900401238","3"
"1900401248","4"
"1900401258","3"
"1900401268","3"
"1900401278","3"
"1900401288","3"
"1900401298","3"
"1900401308.rs","3"
"1900401318","3"
"1900401328","3"
"1900401338","3"
"1900401348","3"
"1900401358","4"
"1900401368","3"
"1900401378","3"
"1900401388","3"
"1900401398","3"
"1900401408","3"
"1900501108","3"
"1900501128","3"
"1900501138","3"
"1900501148","3"
"1900501158","3"
"1900501168","5"
"1900501178","3"
"1900501188","3"
"1900501198","3"
"1900501208","3"
"1900501228","3"
"1900501238","3"
"1900501248","3"
"1900501258","3"
"1900501268","3"
"1900501278","3"
"1900501288.rs","3"
"1900501308","3"
"1900501318","3"
"1900501328","3"
"1900501338.rs","4"
"1900501348","3"
"1900501368","3"
"1900501378","3"
"1900501388","3"
"1900501398","3"
"1900601138","1"
"1900601148","1"
"1900601158","1"
"1900601178","1"
"1900601188","1"
"1900601198","1"
"1900601208","1"
"1900601218","1"
"1900601228","1"
"1900601238","4"
"1900601248","1"
"1900601258","1"
"1900601268","1"
"1900601318","1"
"1900601368","1"
"1900701248","3"
"1900701258.rs","4"
"1900701268.rs","3"
"1900701298","3"
"1900701308","3"
"1900701328","3"
"1900701338","3"
"1900701348","3"
"1900701358.rs","3"
"1900701368","3"
"1900901138","4"
"1900901148","3"
"1900901178","3"
"1900901188","4"
"1900901198","3"
"1900901208","4"
